weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
760,6000,40,755,1008,2.2,2.33
780,6000,40,803,1008,2.18,2.3
800,6000,40,853,1008,2.16,0.06
600,8000,-20,279,358,2.56,0.62
620,8000,-20,301,386,2.52,2.8
640,8000,-20,325,416,2.49,0.72
660,8000,-20,349,449,2.45,1.17
680,8000,-20,375,482,2.43,2.86
700,8000,-20,401,516,2.4,2.69
720,8000,-20,429,554,2.39,0.71
740,8000,-20,459,596,2.38,1.21
760,8000,-20,489,638,2.36,0.33
780,8000,-20,519,685,2.34,1.5
800,8000,-20,551,737,2.31,0.23
600,8000,-15,296,379,2.53,1.99
620,8000,-15,320,410,2.49,1.15
640,8000,-15,344,442,2.46,0.81
660,8000,-15,370,476,2.43,2.59
680,8000,-15,397,511,2.4,1.88
700,8000,-15,426,550,2.39,0.93
720,8000,-15,455,590,2.38,0.96
740,8000,-15,487,636,2.36,0.76
760,8000,-15,518,682,2.34,1.59
780,8000,-15,550,735,2.31,0.17
800,8000,-15,584,790,2.28,1.8
600,8000,-10,312,400,2.51,1.8
620,8000,-10,338,433,2.47,0.32
640,8000,-10,364,468,2.44,2.16
660,8000,-10,391,503,2.41,0.62
680,8000,-10,420,542,2.39,1.33
700,8000,-10,450,584,2.38,0.68
720,8000,-10,481,627,2.37,2.03
740,8000,-10,514,677,2.34,1.8
760,8000,-10,547,729,2.31,0.02
780,8000,-10,581,785,2.28,1.67
800,8000,-10,617,846,2.26,1.75
600,8000,-5,329,422,2.48,0.36
620,8000,-5,356,458,2.45,1.67
640,8000,-5,384,494,2.42,0.93
660,8000,-5,413,532,2.39,1.86
680,8000,-5,444,575,2.38,0.29
700,8000,-5,476,620,2.37,2.17
720,8000,-5,508,667,2.35,2.15
740,8000,-5,542,723,2.32,0.23
760,8000,-5,577,779,2.28,1.48
780,8000,-5,613,840,2.26,1.92
800,8000,-5,652,910,2.24,0.09
600,8000,0,346,444,2.46,0.94
620,8000,0,375,483,2.42,2.79
640,8000,0,404,519,2.4,2.55
660,8000,0,435,562,2.39,0.32
680,8000,0,468,609,2.37,1.75
700,8000,0,501,656,2.36,2.15
720,8000,0,535,710,2.32,0.63
740,8000,0,571,768,2.29,1.18
760,8000,0,607,829,2.27,2.23
780,8000,0,647,901,2.25,0.32
800,8000,0,687,973,2.23,1.4
600,8000,5,365,469,2.44,2.26
620,8000,5,396,509,2.4,1.59
640,8000,5,426,551,2.39,0.9
660,8000,5,459,596,2.38,1.21
680,8000,5,495,647,2.36,0.84
700,8000,5,529,700,2.33,0.97
720,8000,5,564,758,2.29,0.89
740,8000,5,602,820,2.27,2.1
760,8000,5,642,893,2.25,0.53
780,8000,5,683,967,2.23,1.27
800,8000,5,725,1008,2.21,2.34
600,8000,10,385,495,2.42,0.76
620,8000,10,417,537,2.39,1.59
640,8000,10,449,582,2.38,0.59
660,8000,10,483,631,2.37,1.52
680,8000,10,520,686,2.34,1.46
700,8000,10,556,745,2.3,0.49
720,8000,10,594,806,2.27,1.92
740,8000,10,634,879,2.25,0.89
760,8000,10,677,955,2.24,1
780,8000,10,719,1008,2.22,2.34
